sija;hinta_sis_alv;hinta_alv0;urakkasumma_alv0;materiaalit_osto_alv0;materiaalit_alv0;laudoitus;raystas;homeenesto;maalinpoisto;pohjamaalaus;varinvaihto;maasto;korkeus;seinapinta_m2;maalit_l;tyo_h;kesto_pv
169;5745,26;4577,90;1976,85;589,09;441,82;Rimalaudoitus;Avoräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;187,59;39,75;62,63;3,91
170;5746,76;4579,09;1940,96;637,91;478,44;Panelointi;Avoräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;174,50;45,53;61,50;3,84
171;5760,43;4589,98;1937,39;651,61;488,71;Panelointi;Umpiräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;174,50;44,37;61,38;3,84
172;5761,54;4590,87;1993,24;577,86;433,39;Rimalaudoitus;Umpiräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;38,59;63,15;3,95
173;5761,87;4591,13;1912,72;685,44;514,08;Lomalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;218,13;53,19;60,60;3,79
174;5762,18;4591,38;1993,56;577,86;433,39;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;38,59;63,16;3,95
175;5762,80;4591,87;1914,63;683,50;512,62;Panelointi;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;53,36;60,66;3,79
176;5768,48;4596,40;2012,91;556,17;417,13;Panelointi;Umpiräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;174,50;36,54;63,78;3,99
177;5773,21;4600,17;1981,04;601,75;451,31;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;174,50;44,37;62,77;3,92
178;5773,88;4600,70;1984,71;597,30;447,97;Lomalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Korkea;218,13;43,39;62,88;3,93
179;5778,64;4604,50;1956,45;638,09;478,57;Rimalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;48,17;61,99;3,87
180;5778,64;4604,50;1956,45;638,09;478,57;Rimalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;48,17;61,99;3,87
181;5779,13;4604,89;1965,25;626,68;470,01;Panelointi;Umpiräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;44,37;62,27;3,89
182;5779,13;4604,89;1965,25;626,68;470,01;Panelointi;Umpiräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;44,37;62,27;3,89
183;5785,10;4609,64;1939,51;664,89;498,67;Rimalaudoitus;Avoräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;187,59;48,17;61,45;3,84
184;5790,22;4613,72;1969,35;628,46;471,35;Lomalaudoitus;Umpiräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;218,13;43,39;62,40;3,90
185;5791,36;4614,63;1987,76;604,65;453,49;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;187,59;38,59;62,98;3,94
186;5791,36;4614,63;1987,76;604,65;453,49;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;187,59;38,59;62,98;3,94
187;5791,78;4614,96;1999,64;589,09;441,82;Rimalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;39,75;63,35;3,96
188;5798,65;4620,44;1934,49;680,45;510,34;Rimalaudoitus;Umpiräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;187,59;47,02;61,29;3,83
189;5801,59;4622,78;1966,50;639,70;479,77;Lomalaudoitus;Avoräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;218,13;44,55;62,30;3,89
190;5804,52;4625,11;2003,46;592,33;444,25;Panelointi;Avoräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;174,50;37,69;63,48;3,97
191;5804,52;4625,11;2003,46;592,33;444,25;Panelointi;Avoräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;174,50;37,69;63,48;3,97
192;5813,18;4632,01;1948,81;670,86;503,14;Lomalaudoitus;Avoräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;218,13;44,55;61,74;3,86
193;5815,14;4633,58;1974,49;637,91;478,44;Panelointi;Avoräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;45,53;62,56;3,91
194;5815,14;4633,58;1974,49;637,91;478,44;Panelointi;Avoräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;45,53;62,56;3,91
195;5824,08;4640,70;2027,96;572,47;429,36;Panelointi;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Keskitaso;174,50;37,69;64,25;4,02
196;5825,81;4642,08;1967,92;653,66;490,24;Rimalaudoitus;Umpiräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;187,59;47,02;62,35;3,90
197;5837,14;4651,11;2034,37;572,47;429,36;Panelointi;Avoräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Korkea;174,50;37,69;64,46;4,03
