sija;hinta_sis_alv;hinta_alv0;urakkasumma_alv0;materiaalit_osto_alv0;materiaalit_alv0;laudoitus;raystas;homeenesto;maalinpoisto;pohjamaalaus;varinvaihto;maasto;korkeus;seinapinta_m2;maalit_l;tyo_h;kesto_pv
329;6162,59;4910,43;2113,76;681,61;511,21;Panelointi;Umpiräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;44,37;66,97;4,19
330;6162,59;4910,43;2113,76;681,61;511,21;Panelointi;Umpiräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;44,37;66,97;4,19
331;6163,54;4911,19;2132,80;656,86;492,64;Rimalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Haastava;Keskitaso;187,59;47,02;67,57;4,22
332;6164,49;4911,94;2084,65;721,69;541,27;Rimalaudoitus;Avoräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;187,59;48,17;66,05;4,13
333;6166,30;4913,38;2081,43;727,19;545,39;Panelointi;Umpiräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;52,21;65,95;4,12
334;6170,78;4916,96;2079,57;732,66;549,49;Rimalaudoitus;Umpiräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;187,59;55,44;65,89;4,12
335;6174,86;4920,21;2175,21;607,86;455,89;Rimalaudoitus;Umpiräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Korkea;187,59;38,59;68,92;4,31
336;6184,27;4927,70;2134,73;668,09;501,07;Rimalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;187,59;48,17;67,64;4,23
337;6186,51;4929,49;2144,41;656,68;492,51;Panelointi;Umpiräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;174,50;44,37;67,94;4,25
338;6187,21;4930,05;2116,10;694,89;521,17;Rimalaudoitus;Avoräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;48,17;67,04;4,19
339;6187,21;4930,05;2116,10;694,89;521,17;Rimalaudoitus;Avoräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;48,17;67,04;4,19
340;6193,90;4935,38;2120,99;692,84;519,63;Panelointi;Avoräystäs;kyllä;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;174,50;45,53;67,20;4,20
341;6195,32;4936,51;2096,32;726,68;545,01;Lomalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;218,13;54,34;66,42;4,15
342;6195,55;4936,69;2081,49;746,60;559,95;Lomalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;218,13;53,19;65,95;4,12
343;6198,16;4938,78;2213,39;572,47;429,36;Panelointi;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Korkea;174,50;37,69;70,13;4,38
344;6198,20;4938,81;2148,92;658,46;493,85;Lomalaudoitus;Umpiräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;218,13;43,39;68,08;4,26
345;6198,20;4938,81;2148,92;658,46;493,85;Lomalaudoitus;Umpiräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;218,13;43,39;68,08;4,26
346;6199,50;4939,84;2110,57;710,45;532,84;Rimalaudoitus;Umpiräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;47,02;66,87;4,18
347;6199,50;4939,84;2110,57;710,45;532,84;Rimalaudoitus;Umpiräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;47,02;66,87;4,18
348;6201,76;4941,64;2186,23;611,10;458,32;Panelointi;Umpiräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;174,50;36,54;69,27;4,33
349;6202,22;4942,01;2196,73;597,40;448,05;Panelointi;Avoräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;174,50;37,69;69,60;4,35
350;6203,00;4942,63;2169,18;634,65;475,99;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;38,59;68,73;4,30
351;6204,29;4943,66;2153,31;656,68;492,51;Panelointi;Umpiräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Haastava;Keskitaso;174,50;44,37;68,22;4,26
352;6206,69;4945,57;2078,64;757,84;568,38;Lomalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;218,13;54,34;65,86;4,12
353;6208,78;4947,23;2145,79;669,70;502,27;Lomalaudoitus;Avoräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;218,13;44,55;67,99;4,25
354;6208,78;4947,23;2145,79;669,70;502,27;Lomalaudoitus;Avoräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;218,13;44,55;67,99;4,25
355;6216,61;4953,47;2126,34;700,86;525,64;Lomalaudoitus;Avoräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;218,13;44,55;67,37;4,21
356;6216,61;4953,47;2126,34;700,86;525,64;Lomalaudoitus;Avoräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;218,13;44,55;67,37;4,21
357;6219,03;4955,40;2186,44;622,33;466,75;Panelointi;Avoräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;174,50;37,69;69,27;4,33
358;6223,31;4958,81;2138,12;689,62;517,22;Lomalaudoitus;Umpiräystäs;kyllä;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;218,13;43,39;67,74;4,23
359;6223,67;4959,10;2154,58;667,91;500,94;Panelointi;Avoräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;174,50;45,53;68,26;4,27
360;6226,58;4961,42;2221,18;581,06;435,79;Rimalaudoitus;Umpiräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Korkea;187,59;38,59;70,37;4,40
361;6231,34;4965,21;2118,09;721,69;541,27;Rimalaudoitus;Avoräystäs;kyllä;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;187,59;48,17;67,11;4,19
362;6232,81;4966,39;2147,35;683,66;512,74;Rimalaudoitus;Umpiräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;47,02;68,03;4,25
363;6232,81;4966,39;2147,35;683,66;512,74;Rimalaudoitus;Umpiräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;47,02;68,03;4,25
364;6240,82;4972,77;2094,51;759,46;569,59;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;187,59;55,44;66,36;4,15
365;6243,34;4974,78;2180,95;645,89;484,42;Rimalaudoitus;Avoräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;39,75;69,10;4,32
366;6246,18;4977,04;2208,47;611,10;458,32;Panelointi;Umpiräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Haastava;Korkea;174,50;36,54;69,97;4,37
367;6246,93;4977,63;2094,65;763,36;572,52;Panelointi;Avoräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;53,36;66,37;4,15
368;6248,74;4979,07;2220,02;597,40;448,05;Panelointi;Avoräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Haastava;Korkea;174,50;37,69;70,34;4,40
369;6248,88;4979,18;2167,21;667,91;500,94;Panelointi;Avoräystäs;kyllä;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;45,53;68,66;4,29
370;6248,88;4979,18;2167,21;667,91;500,94;Panelointi;Avoräystäs;kyllä;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;45,53;68,66;4,29
371;6250,93;4980,82;2157,97;681,61;511,21;Panelointi;Umpiräystäs;kyllä;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;44,37;68,37;4,27
372;6250,93;4980,82;2157,97;681,61;511,21;Panelointi;Umpiräystäs;kyllä;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;44,37;68,37;4,27
373;6251,58;4981,34;2202,75;622,33;466,75;Panelointi;Avoräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;174,50;37,69;69,79;4,36
374;6256,22;4985,04;2126,43;727,19;545,39;Panelointi;Umpiräystäs;kyllä;Vaikea, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;52,21;67,37;4,21
375;6257,28;4985,88;2216,46;607,86;455,89;Rimalaudoitus;Umpiräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;38,59;70,22;4,39
376;6260,83;4988,71;2189,72;645,89;484,42;Rimalaudoitus;Avoräystäs;kyllä;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;187,59;39,75;69,38;4,34
377;6260,83;4988,71;2189,72;645,89;484,42;Rimalaudoitus;Avoräystäs;kyllä;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;187,59;39,75;69,38;4,34
378;6261,33;4989,11;2129,00;727,19;545,39;Panelointi;Umpiräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Korkea;174,50;52,21;67,45;4,22
379;6261,33;4989,11;2129,00;727,19;545,39;Panelointi;Umpiräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Lievä rinne;Keskitaso;174,50;52,21;67,45;4,22
380;6265,42;4992,37;2126,95;732,66;549,49;Rimalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Korkea;187,59;55,44;67,39;4,21
381;6265,42;4992,37;2126,95;732,66;549,49;Rimalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Lievä rinne;Keskitaso;187,59;55,44;67,39;4,21
382;6267,23;4993,81;2203,54;631,75;473,81;Panelointi;Umpiräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Haastava;Keskitaso;174,50;44,37;69,82;4,36
383;6267,65;4994,14;2099,54;770,69;578,02;Rimalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;187,59;56,59;66,52;4,16
384;6268,12;4994,52;2207,32;627,30;470,47;Lomalaudoitus;Umpiräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Keskitaso;218,13;43,39;69,93;4,37
385;6270,65;4996,53;2185,22;658,46;493,85;Lomalaudoitus;Umpiräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;218,13;43,39;69,23;4,33
386;6272,57;4998,07;2215,71;619,09;464,32;Rimalaudoitus;Avoräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;39,75;70,20;4,39
387;6278,02;5002,40;2188,92;658,46;493,85;Lomalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;218,13;43,39;69,35;4,33
388;6283,34;5006,65;2203,20;642,99;482,24;Panelointi;Avoräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;174,50;45,53;69,80;4,36
389;6283,71;5006,94;2209,63;634,65;475,99;Rimalaudoitus;Umpiräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;38,59;70,01;4,38
390;6283,99;5007,17;2206,86;638,53;478,90;Lomalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Korkea;218,13;44,55;69,92;4,37
391;6286,58;5009,23;2222,75;619,09;464,32;Rimalaudoitus;Avoräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;39,75;70,42;4,40
392;6287,93;5010,30;2185,47;669,70;502,27;Lomalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;218,13;44,55;69,24;4,33
393;6289,75;5011,75;2134,83;738,43;553,82;Panelointi;Avoräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;53,36;67,64;4,23
394;6290,55;5012,39;2230,74;611,10;458,32;Panelointi;Umpiräystäs;kyllä;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;174,50;36,54;70,68;4,42
395;6293,19;5014,49;2145,38;726,68;545,01;Lomalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;218,13;54,34;67,97;4,25
396;6293,19;5014,49;2145,38;726,68;545,01;Lomalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;218,13;54,34;67,97;4,25
397;6294,20;5015,30;2132,97;743,89;557,92;Rimalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;187,59;56,59;67,58;4,22
398;6296,69;5017,28;2172,51;692,84;519,63;Panelointi;Avoräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;45,53;68,83;4,30
399;6296,69;5017,28;2172,51;692,84;519,63;Panelointi;Avoräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;45,53;68,83;4,30
400;6300,95;5020,68;2161,44;710,45;532,84;Rimalaudoitus;Umpiräystäs;kyllä;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;187,59;47,02;68,48;4,28
401;6303,06;5022,36;2131,25;752,12;564,09;Panelointi;Umpiräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;52,21;67,52;4,22
402;6307,59;5025,97;2241,73;607,86;455,89;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Haastava;Korkea;187,59;38,59;71,03;4,44
403;6312,11;5029,57;2173,20;702,26;526,70;Panelointi;Umpiräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Korkea;174,50;52,21;68,85;4,30
404;6312,11;5029,57;2173,20;702,26;526,70;Panelointi;Umpiräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Lievä rinne;Keskitaso;174,50;52,21;68,85;4,30
405;6312,19;5029,63;2187,19;683,66;512,74;Rimalaudoitus;Umpiräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;187,59;47,02;69,30;4,33
406;6313,57;5030,74;2199,56;668,09;501,07;Rimalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Haastava;Keskitaso;187,59;48,17;69,69;4,36
407;6314,95;5031,84;2227,51;631,75;473,81;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Haastava;Korkea;174,50;44,37;70,57;4,41
408;6316,44;5033,02;2209,56;656,68;492,51;Panelointi;Umpiräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Haastava;Keskitaso;174,50;44,37;70,01;4,38
409;6316,60;5033,15;2231,68;627,30;470,47;Lomalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Korkea;218,13;43,39;70,71;4,42
410;6318,82;5034,92;2134,90;757,84;568,38;Lomalaudoitus;Avoräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;218,13;54,34;67,64;4,23
411;6318,98;5035,04;2263,72;586,17;439,63;Panelointi;Umpiräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Korkea;174,50;36,54;71,72;4,48
412;6329,36;5043,31;2191,36;689,62;517,22;Lomalaudoitus;Umpiräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;218,13;43,39;69,43;4,34
413;6329,36;5043,31;2191,36;689,62;517,22;Lomalaudoitus;Umpiräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;218,13;43,39;69,43;4,34
414;6332,08;5045,48;2207,67;669,70;502,27;Lomalaudoitus;Avoräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;218,13;44,55;69,95;4,37
415;6332,08;5045,48;2207,67;669,70;502,27;Lomalaudoitus;Avoräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;218,13;44,55;69,95;4,37
416;6332,13;5045,52;2209,03;667,91;500,94;Panelointi;Avoräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;174,50;45,53;69,99;4,37
417;6332,34;5045,69;2198,87;681,61;511,21;Panelointi;Umpiräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;174,50;44,37;69,67;4,35
418;6333,36;5046,50;2169,32;721,69;541,27;Rimalaudoitus;Avoräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;48,17;68,73;4,30
419;6333,36;5046,50;2169,32;721,69;541,27;Rimalaudoitus;Avoräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;48,17;68,73;4,30
420;6334,46;5047,38;2235,15;634,65;475,99;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;38,59;70,82;4,43
421;6338,08;5050,26;2248,64;619,09;464,32;Rimalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Korkea;187,59;39,75;71,24;4,45
422;6338,77;5050,82;2200,57;683,66;512,74;Rimalaudoitus;Umpiräystäs;kyllä;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;47,02;69,72;4,36
423;6338,77;5050,82;2200,57;683,66;512,74;Rimalaudoitus;Umpiräystäs;kyllä;Vaikea, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;47,02;69,72;4,36
424;6342,88;5054,08;2155,43;746,60;559,95;Lomalaudoitus;Umpiräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;218,13;53,19;68,29;4,27
425;6346,43;5056,91;2191,52;700,86;525,64;Lomalaudoitus;Avoräystäs;kyllä;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;218,13;44,55;69,43;4,34
426;6348,51;5058,58;2233,80;645,89;484,42;Rimalaudoitus;Avoräystäs;ei;Vaikea, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Korkea;187,59;39,75;70,77;4,42
427;6349,07;5059,02;2050,94;890,08;667,56;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;kyllä;Tasainen;Keskitaso;174,50;73,08;64,98;4,06
428;6351,52;5060,97;2252,98;622,33;466,75;Panelointi;Avoräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;174,50;37,69;71,38;4,46
429;6352,63;5061,85;2227,65;656,86;492,64;Rimalaudoitus;Umpiräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;187,59;47,02;70,58;4,41
430;6354,04;5062,98;2220,06;667,91;500,94;Panelointi;Avoräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Haastava;Keskitaso;174,50;45,53;70,34;4,40
431;6354,17;5063,08;2137,75;777,76;583,32;Lomalaudoitus;Umpiräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;218,13;53,19;67,73;4,23
432;6359,78;5067,56;2178,50;727,19;545,39;Panelointi;Umpiräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Korkea;174,50;52,21;69,02;4,31
433;6359,78;5067,56;2178,50;727,19;545,39;Panelointi;Umpiräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 4 seinää;ei;Lievä rinne;Keskitaso;174,50;52,21;69,02;4,31
434;6363,84;5070,79;2147,92;770,69;578,02;Rimalaudoitus;Avoräystäs;ei;Vaikea, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;187,59;56,59;68,05;4,25
435;6366,47;5072,88;2206,10;694,89;521,17;Rimalaudoitus;Avoräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;48,17;69,90;4,37
436;6366,47;5072,88;2206,10;694,89;521,17;Rimalaudoitus;Avoräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;48,17;69,90;4,37
437;6367,97;5074,08;2210,81;689,62;517,22;Lomalaudoitus;Umpiräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;218,13;43,39;70,05;4,38
438;6367,97;5074,08;2210,81;689,62;517,22;Lomalaudoitus;Umpiräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;218,13;43,39;70,05;4,38
439;6377,02;5081,29;2142,90;786,26;589,69;Rimalaudoitus;Umpiräystäs;ei;Helppo, 4 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;187,59;55,44;67,89;4,24
440;6379,15;5082,99;2179,84;738,43;553,82;Panelointi;Avoräystäs;kyllä;Vaikea, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;53,36;69,06;4,32
441;6382,85;5085,94;2171,44;752,12;564,09;Panelointi;Umpiräystäs;kyllä;Helppo, 4 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;174,50;52,21;68,80;4,30
442;6384,47;5087,23;2216,71;692,84;519,63;Panelointi;Avoräystäs;kyllä;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;174,50;45,53;70,23;4,39
443;6384,47;5087,23;2216,71;692,84;519,63;Panelointi;Avoräystäs;kyllä;Helppo, 4 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;174,50;45,53;70,23;4,39
444;6389,40;5091,15;2294,61;592,29;444,22;Rimalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Korkea;187,59;39,75;72,70;4,54
445;6391,71;5093,00;2247,49;656,68;492,51;Panelointi;Umpiräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Korkea;174,50;44,37;71,21;4,45
446;6394,81;5095,47;2187,74;738,43;553,82;Panelointi;Avoräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Korkea;174,50;53,36;69,31;4,33
447;6394,81;5095,47;2187,74;738,43;553,82;Panelointi;Avoräystäs;ei;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Lievä rinne;Keskitaso;174,50;53,36;69,31;4,33
448;6396,31;5096,66;2215,62;702,26;526,70;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Lievä rinne;Korkea;174,50;52,21;70,20;4,39
449;6398,87;5098,71;2185,70;743,89;557,92;Rimalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Tasainen;Korkea;187,59;56,59;69,25;4,33
450;6398,87;5098,71;2185,70;743,89;557,92;Rimalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 4 seinää;ei;Lievä rinne;Keskitaso;187,59;56,59;69,25;4,33
451;6403,44;5102,34;2176,33;759,46;569,59;Rimalaudoitus;Umpiräystäs;kyllä;Helppo, 2 seinää;Pohjamaalaus, 4 seinää;ei;Tasainen;Keskitaso;187,59;55,44;68,95;4,31
452;6406,64;5104,89;2283,22;619,09;464,32;Rimalaudoitus;Avoräystäs;kyllä;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;39,75;72,34;4,52
453;6408,85;5106,65;2281,90;622,33;466,75;Panelointi;Avoräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Haastava;Korkea;174,50;37,69;72,30;4,52
454;6410,30;5107,81;2255,54;658,46;493,85;Lomalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;218,13;43,39;71,46;4,47
455;6411,22;5108,54;2217,01;710,45;532,84;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Tasainen;Korkea;187,59;47,02;70,24;4,39
456;6411,22;5108,54;2217,01;710,45;532,84;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 4 seinää;Pohjamaalaus, 2 seinää;ei;Lievä rinne;Keskitaso;187,59;47,02;70,24;4,39
457;6416,53;5112,77;2270,29;642,99;482,24;Panelointi;Avoräystäs;kyllä;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Haastava;Keskitaso;174,50;45,53;71,93;4,50
458;6417,31;5113,40;2276,94;634,65;475,99;Rimalaudoitus;Umpiräystäs;kyllä;Helppo, 4 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;187,59;38,59;72,14;4,51
459;6417,41;5113,48;2274,08;638,53;478,90;Lomalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Haastava;Keskitaso;218,13;44,55;72,05;4,50
460;6419,92;5115,48;2251,98;669,70;502,27;Lomalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Haastava;Keskitaso;218,13;44,55;71,35;4,46
